weekends,caserate,zipcode
8/8/2020,7.24,10001
8/15/2020,14.49,10001
8/22/2020,10.86,10001
8/29/2020,7.24,10001
9/5/2020,32.59,10001
9/12/2020,43.46,10001
9/19/2020,14.49,10001
9/26/2020,10.86,10001
10/3/2020,28.97,10001
10/10/2020,36.21,10001
10/17/2020,25.35,10001
10/24/2020,32.59,10001
10/31/2020,21.73,10001
11/7/2020,72.43,10001
11/14/2020,126.75,10001
11/21/2020,123.13,10001
11/28/2020,94.16,10001
12/5/2020,152.1,10001
12/12/2020,112.27,10001
12/19/2020,170.21,10001
12/26/2020,119.51,10001
1/2/2021,133.99,10001
1/9/2021,329.55,10001
1/16/2021,195.56,10001
1/23/2021,224.53,10001
1/30/2021,202.8,10001
2/6/2021,202.8,10001
2/13/2021,199.18,10001
2/20/2021,126.75,10001
2/27/2021,181.07,10001
3/6/2021,133.99,10001
3/13/2021,162.97,10001
3/20/2021,239.02,10001
8/8/2020,34.52,10002
8/15/2020,10.62,10002
8/22/2020,19.91,10002
8/29/2020,10.62,10002
9/5/2020,7.97,10002
9/12/2020,6.64,10002
9/19/2020,21.24,10002
9/26/2020,23.9,10002
10/3/2020,18.59,10002
10/10/2020,23.9,10002
10/17/2020,21.24,10002
10/24/2020,46.47,10002
10/31/2020,39.83,10002
11/7/2020,55.76,10002
11/14/2020,96.92,10002
11/21/2020,108.86,10002
11/28/2020,106.21,10002
12/5/2020,161.97,10002
12/12/2020,290.75,10002
12/19/2020,297.39,10002
12/26/2020,290.75,10002
1/2/2021,274.82,10002
1/9/2021,419.53,10002
1/16/2021,323.94,10002
1/23/2021,382.35,10002
1/30/2021,276.15,10002
2/6/2021,248.27,10002
2/13/2021,246.94,10002
2/20/2021,270.83,10002
2/27/2021,268.18,10002
3/6/2021,252.25,10002
3/13/2021,272.16,10002
3/20/2021,248.27,10002
8/8/2020,5.56,10003
8/15/2020,3.71,10003
8/22/2020,16.67,10003
8/29/2020,18.53,10003
9/5/2020,18.53,10003
9/12/2020,51.87,10003
9/19/2020,40.76,10003
9/26/2020,40.76,10003
10/3/2020,44.46,10003
10/10/2020,29.64,10003
10/17/2020,66.69,10003
10/24/2020,38.9,10003
10/31/2020,40.76,10003
11/7/2020,38.9,10003
11/14/2020,101.89,10003
11/21/2020,133.39,10003
11/28/2020,94.48,10003
12/5/2020,118.57,10003
12/12/2020,135.24,10003
12/19/2020,159.32,10003
12/26/2020,127.83,10003
1/2/2021,131.54,10003
1/9/2021,205.64,10003
1/16/2021,218.61,10003
1/23/2021,216.76,10003
1/30/2021,226.02,10003
2/6/2021,157.47,10003
2/13/2021,164.88,10003
2/20/2021,161.18,10003
2/27/2021,205.64,10003
3/6/2021,172.29,10003
3/13/2021,148.21,10003
3/20/2021,198.23,10003
8/8/2020,0,10004
8/15/2020,0,10004
8/22/2020,33.65,10004
8/29/2020,0,10004
9/5/2020,67.29,10004
9/12/2020,0,10004
9/19/2020,33.65,10004
9/26/2020,100.94,10004
10/3/2020,0,10004
10/10/2020,100.94,10004
10/17/2020,67.29,10004
10/24/2020,33.65,10004
10/31/2020,201.88,10004
11/7/2020,67.29,10004
11/14/2020,134.58,10004
11/21/2020,370.11,10004
11/28/2020,269.17,10004
12/5/2020,302.81,10004
12/12/2020,269.17,10004
12/19/2020,302.81,10004
12/26/2020,134.58,10004
1/2/2021,235.52,10004
1/9/2021,1110.32,10004
1/16/2021,672.92,10004
1/23/2021,235.52,10004
1/30/2021,504.69,10004
2/6/2021,168.23,10004
2/13/2021,235.52,10004
2/20/2021,201.88,10004
2/27/2021,168.23,10004
3/6/2021,100.94,10004
3/13/2021,235.52,10004
3/20/2021,168.23,10004
8/8/2020,22.84,10005
8/15/2020,45.68,10005
8/22/2020,22.84,10005
8/29/2020,22.84,10005
9/5/2020,45.68,10005
9/12/2020,22.84,10005
9/19/2020,57.1,10005
9/26/2020,11.42,10005
10/3/2020,34.26,10005
10/10/2020,68.51,10005
10/17/2020,22.84,10005
10/24/2020,0,10005
10/31/2020,0,10005
11/7/2020,68.51,10005
11/14/2020,114.19,10005
11/21/2020,34.26,10005
11/28/2020,137.03,10005
12/5/2020,137.03,10005
12/12/2020,216.96,10005
12/19/2020,148.45,10005
12/26/2020,182.71,10005
1/2/2021,148.45,10005
1/9/2021,216.96,10005
1/16/2021,125.61,10005
1/23/2021,45.68,10005
1/30/2021,228.38,10005
2/6/2021,91.35,10005
2/13/2021,137.03,10005
2/20/2021,159.87,10005
2/27/2021,57.1,10005
3/6/2021,216.96,10005
3/13/2021,182.71,10005
3/20/2021,125.61,10005
8/8/2020,0,10006
8/15/2020,0,10006
8/22/2020,0,10006
8/29/2020,59.14,10006
9/5/2020,118.28,10006
9/12/2020,0,10006
9/19/2020,29.57,10006
9/26/2020,59.14,10006
10/3/2020,29.57,10006
10/10/2020,29.57,10006
10/17/2020,29.57,10006
10/24/2020,29.57,10006
10/31/2020,29.57,10006
11/7/2020,59.14,10006
11/14/2020,118.28,10006
11/21/2020,88.71,10006
11/28/2020,236.56,10006
12/5/2020,59.14,10006
12/12/2020,118.28,10006
12/19/2020,206.99,10006
12/26/2020,118.28,10006
1/2/2021,266.13,10006
1/9/2021,206.99,10006
1/16/2021,147.85,10006
1/23/2021,206.99,10006
1/30/2021,147.85,10006
2/6/2021,88.71,10006
2/13/2021,29.57,10006
2/20/2021,236.56,10006
2/27/2021,118.28,10006
3/6/2021,88.71,10006
3/13/2021,177.42,10006
3/20/2021,236.56,10006
8/8/2020,14.3,10007
8/15/2020,14.3,10007
8/22/2020,0,10007
8/29/2020,14.3,10007
9/5/2020,14.3,10007
9/12/2020,14.3,10007
9/19/2020,28.61,10007
9/26/2020,28.61,10007
10/3/2020,14.3,10007
10/10/2020,57.21,10007
10/17/2020,42.91,10007
10/24/2020,42.91,10007
10/31/2020,71.52,10007
11/7/2020,0,10007
11/14/2020,128.73,10007
11/21/2020,300.37,10007
11/28/2020,114.43,10007
12/5/2020,171.64,10007
12/12/2020,100.12,10007
12/19/2020,200.24,10007
12/26/2020,185.94,10007
1/2/2021,114.43,10007
1/9/2021,271.76,10007
1/16/2021,200.24,10007
1/23/2021,286.06,10007
1/30/2021,228.85,10007
2/6/2021,257.46,10007
2/13/2021,143.03,10007
2/20/2021,157.34,10007
2/27/2021,114.43,10007
3/6/2021,128.73,10007
3/13/2021,271.76,10007
3/20/2021,214.55,10007
8/8/2020,14,10009
